country,country_label,iso3
AUSTRIA,0,AUT
BELGIUM,1,BEL
BULGARIA,2,BGR
CROATIA,3,HRV
CYPRUS,4,CYP
CZECH REPUBLIC,5,CZE
DENMARK,6,DNK
ESTONIA,7,EST
FINLAND,8,FIN
FRANCE,9,FRA
GERMANY,10,DEU
GREECE,11,GRC
HUNGARY,12,HUN
ICELAND,13,ISL
IRELAND,14,IRL
ISLE OF MAN,15,IMN
ITALY,16,ITA
LATVIA,17,LVA
LIECHTENSTEIN,18,LIE
LITHUANIA,19,LTU
LUXEMBOURG,20,LUX
MALTA,21,MLT
NORWAY,22,NOR
POLAND,23,POL
PORTUGAL,24,PRT
ROMANIA,25,ROU
SLOVAKIA,26,SVK
SPAIN,27,ESP
SWEDEN,28,SWE
THE NETHERLANDS,29,NLD
UNITED KINGDOM,30,GBR
